substrate	smiles	d_substrate	d_smiles	nme_substrate	nme_smiles	nme_d_substrate	nme_d_smiles
2-ketoglutaric acid	O=C(O)CCC(C(O)=O)=O						
alanine	C[C@H](N)C(O)=O	D-alanine	C[C@@H](N)C(O)=O	NMe-alanine	CN[C@H](C(O)=O)C	NMe-D-alanine	CN[C@@H](C(O)=O)C
valine	CC([C@H](N)C(O)=O)C	D-valine	CC([C@@H](N)C(O)=O)C	NMe-valine	CN[C@H](C(O)=O)C(C)C	NMe-D-valine	CN[C@@H](C(O)=O)C(C)C
beta-alanine	NCCC(O)=O			NMe-beta-alanine	CNCCC(O)=O		
An acid hydrazine polyene (intermediate 14)	OC(CCC(NNCC(O)=O)=O)=O			NMe-An acid hydrazine polyene (intermediate 14)	CN(CC(O)=O)NC(=O)CCC(=O)O		
cysteine	O=C(O)[C@@H](N)CS	D-cysteine	O=C(O)[C@H](N)CS	NMe-cysteine	CN[C@H](C(O)=O)CS	NMe-D-cysteine	CN[C@@H](C(O)=O)CS
aspartic acid	O=C(O)[C@@H](N)CC(O)=O	D-aspartic acid	O=C(O)[C@H](N)CC(O)=O	NMe-aspartic acid	CN[C@H](C(O)=O)CC(O)=O	NMe-D-aspartic acid	CN[C@@H](C(O)=O)CC(O)=O
piperazic acid	O=C(O)[C@@H]1CCCNN1	D-piperazic acid	O=C(O)[C@H]1CCCNN1	NMe-piperazic acid	CN1[C@H](C(O)=O)CCCN1	NMe-D-piperazic acid	CN1[C@@H](C(O)=O)CCCN1
2R-hydroxyisovaleric acid	CC([C@@H](O)C(O)=O)C						
phenylalanine	O=C(O)[C@@H](N)Cc1ccccc1	D-phenylalanine	O=C(O)[C@H](N)Cc1ccccc1	NMe-phenylalanine	CN[C@H](C(O)=O)Cc1ccccc1	NMe-D-phenylalanine	CN[C@@H](C(O)=O)Cc1ccccc1
2-amino-3,5-dimethyl-4-hexenoic Acid	CC(C(N)C(O)=O)C=C(C)C			NMe-2-amino-3,5-dimethyl-4-hexenoic Acid	CNC(C(O)=O)C(C=C(C)C)C		
beta-hydroxy-gamma-methyl-hexadecanoic acid	CCCCCCCCCCCCC(C(CC(O)=O)O)C						
beta-lysine	N[C@H](CC(O)=O)CCCN			NMe-beta-lysine	CN[C@H](CC(O)=O)CCCN		
proline	OC(=O)[C@@H]1CCCN1	D-proline	OC(=O)[C@H]1CCCN1	NMe-proline	CN1[C@H](C(O)=O)CCC1	NMe-D-proline	CN1[C@@H](C(O)=O)CCC1
2-ketoisocaproic acid	O=C(CC(C)C)C(O)=O						
4S-methylproline	C[C@H]1C[C@@H](C(O)=O)NC1	D-4S-methylproline	C[C@H]1C[C@H](C(O)=O)NC1	NMe-4S-methylproline	CN(C1)[C@H](C(O)=O)C[C@@H]1C	NMe-D-4S-methylproline	CN(C1)[C@@H](C(O)=O)C[C@@H]1C
dimethylsulfoniopropionic acid	C[S+](CCC(O)=O)C						
isoleucine	CC[C@@H]([C@H](N)C(O)=O)C	D-allo-isoleucine	CC[C@@H]([C@@H](N)C(O)=O)C	NMe-isoleucine	CN[C@H](C(O)=O)[C@@H](C)CC	NMe-D-allo-isoleucine	CN[C@@H](C(O)=O)[C@@H](C)CC
4R-hydroxyproline	O=C(O)[C@@H]1C[C@@H](O)CN1	D-4R-hydroxyproline	O=C(O)[C@H]1C[C@@H](O)CN1	NMe-4R-hydroxyproline	CN1[C@H](C(O)=O)C[C@@H](O)C1	NMe-D-4R-hydroxyproline	CN1[C@@H](C(O)=O)C[C@@H](O)C1
benzoic acid	OC(=O)c1ccccc1						
leucine	CC(C[C@H](N)C(O)=O)C	D-leucine	CC(C[C@@H](N)C(O)=O)C	NMe-leucine	CN[C@H](C(O)=O)CC(C)C	NMe-D-leucine	CN[C@@H](C(O)=O)CC(C)C
tricarballylic acid	O=C(O)CC(C(O)=O)CC(O)=O						
butyric acid	CCCC(O)=O						
3S-methylaspartic acid branched	C[C@H](C(O)=O)[C@H](N)C(O)=O	D-3S-methylaspartic acid branched	C[C@H](C(O)=O)[C@@H](N)C(O)=O	NMe-3S-methylaspartic acid branched	CN[C@H](C(O)=O)[C@@H](C(O)=O)C	NMe-D-3S-methylaspartic acid branched	CN[C@@H](C(O)=O)[C@@H](C(O)=O)C
5-methylorsellinic acid	Cc1c(O)cc(O)c(C(O)=O)c1C						
anthranilic acid	OC(=O)c1c(N)cccc1						
para-aminobenzoic acid	O=C(c(cc1)ccc1N)O						
tyrosine	O=C(O)[C@@H](N)Cc1ccc(O)cc1	D-tyrosine	O=C(O)[C@H](N)Cc1ccc(O)cc1	NMe-tyrosine	CN[C@H](C(O)=O)Cc1ccc(O)cc1	NMe-D-tyrosine	CN[C@@H](C(O)=O)Cc1ccc(O)cc1
2-ketoisovaleric acid	O=C(C(C)C)C(O)=O						
3R-hydroxyasparagine	N[C@@H]([C@H](C(=O)N)O)C(=O)O	D-3R-hydroxyasparagine	N[C@H]([C@H](C(=O)N)O)C(=O)O	NMe-3R-hydroxyasparagine	CN[C@@H]([C@H](C(=O)N)O)C(=O)O	NMe-D-3R-hydroxyasparagine	CN[C@H]([C@H](C(=O)N)O)C(=O)O
3S-hydroxyasparagine	N[C@@H]([C@@H](C(=O)N)O)C(=O)O	D-3S-hydroxyasparagine	N[C@H]([C@@H](C(=O)N)O)C(=O)O	NMe-3S-hydroxyasparagine	CN[C@@H]([C@@H](C(=O)N)O)C(=O)O	NMe-D-3S-hydroxyasparagine	CN[C@H]([C@@H](C(=O)N)O)C(=O)O
threonine	C[C@@H](O)[C@H](N)C(O)=O	D-allo-threonine	C[C@@H](O)[C@@H](N)C(O)=O	NMe-threonine	CN[C@H](C(O)=O)[C@H](O)C	NMe-D-allo-threonine	CN[C@@H](C(O)=O)[C@H](O)C
2S-hydroxyisocaproic acid	CC(C[C@H](O)C(O)=O)C						
4-aminobutyric acid	NCCCC(O)=O						
arginine	O=C(O)[C@@H](N)CCCN=C(N)N	D-arginine	O=C(O)[C@H](N)CCCN=C(N)N	NMe-arginine	CN[C@H](C(O)=O)CCCN=C(N)N	NMe-D-arginine	CN[C@@H](C(O)=O)CCCN=C(N)N
2-amino-3-hydroxycyclopent-2-enone	O=C1CCC(O)=C1N						
2-aminoadipic acid	O=C(O)[C@@H](N)CCCC(O)=O	D-2-aminoadipic acid	O=C(O)[C@H](N)CCCC(O)=O	NMe-2-aminoadipic acid	CN[C@H](C(O)=O)CCCC(O)=O	NMe-D-2-aminoadipic acid	CN[C@@H](C(O)=O)CCCC(O)=O
2-aminobutyric acid	CC[C@H](N)C(O)=O	D-2-aminobutyric acid	CC[C@@H](N)C(O)=O	NMe-2-aminobutyric acid	CN[C@H](C(O)=O)CC	NMe-D-2-aminobutyric acid	CN[C@@H](C(O)=O)CC
6,7-dichlorotryptophan	Clc1ccc2c([nH]cc2C[C@H](N)C(O)=O)c1Cl	D-6,7-dichlorotryptophan	Clc1ccc2c([nH]cc2C[C@@H](N)C(O)=O)c1Cl	NMe-6,7-dichlorotryptophan	CN[C@H](C(O)=O)Cc(c[nH]2)c1c2c(Cl)c(Cl)cc1	NMe-D-6,7-dichlorotryptophan	CN[C@@H](C(O)=O)Cc(c[nH]2)c1c2c(Cl)c(Cl)cc1
N-methyltyrosine	O=C(O)[C@@H](NC)Cc1ccc(O)cc1	D-N-methyltyrosine	O=C(O)[C@H](NC)Cc1ccc(O)cc1	NMe-N-methyltyrosine	CN(C)[C@H](C(O)=O)Cc1ccc(O)cc1	NMe-D-N-methyltyrosine	CN(C)[C@@H](C(O)=O)Cc1ccc(O)cc1
asparagine	O=C(O)[C@@H](N)CC(N)=O	D-asparagine	O=C(O)[C@H](N)CC(N)=O	NMe-asparagine	CN[C@H](C(O)=O)CC(N)=O	NMe-D-asparagine	CN[C@@H](C(O)=O)CC(N)=O
coumaric acid	O=C(O)\C=C\c1ccc(O)cc1						
1-aminocyclopropane-1-carboxylic acid	OC(C1(N)CC1)=O			NMe-1-aminocyclopropane-1-carboxylic acid	CNC1(CC1)C(=O)O		
2S-hydroxyisovaleric acid	CC([C@H](O)C(O)=O)C						
betaine	C[N+](CC(O)=O)(C)C						
kynurenine	O=C(C[C@H](N)C(O)=O)c1c(N)cccc1	D-kynurenine	O=C(C[C@@H](N)C(O)=O)c1c(N)cccc1	NMe-kynurenine	CN[C@H](C(O)=O)CC(=O)c1c(N)cccc1	NMe-D-kynurenine	CN[C@@H](C(O)=O)CC(=O)c1c(N)cccc1
6S-methyl-pipecolic acid	O=C(O)[C@H]1N[C@@H](C)CCC1	D-6S-methyl-pipecolic acid	O=C(O)[C@@H]1N[C@@H](C)CCC1	NMe-6S-methyl-pipecolic acid	CN1[C@@H](C)CCC[C@H]1C(O)=O	NMe-D-6S-methyl-pipecolic acid	CN1[C@@H](C)CCC[C@@H]1C(O)=O
pipecolic acid	O=C(O)[C@H]1NCCCC1	D-pipecolic acid	O=C(O)[C@@H]1NCCCC1	NMe-pipecolic acid	CN1CCCC[C@H]1C(O)=O	NMe-D-pipecolic acid	CN1CCCC[C@@H]1C(O)=O
tryptophan	O=C(O)[C@@H](N)Cc2c1c([nH]c2)cccc1	D-tryptophan	O=C(O)[C@H](N)Cc2c1c([nH]c2)cccc1	NMe-tryptophan	CN[C@H](C(O)=O)Cc(c[nH]2)c1c2cccc1	NMe-D-tryptophan	CN[C@@H](C(O)=O)Cc(c[nH]2)c1c2cccc1
2R-hydroxy-3-methylpentanoic acid	CCC([C@@H](O)C(O)=O)C						
glycine	NCC(O)=O			NMe-glycine	CNCC(O)=O		
lactic acid	CC(O)C(O)=O						
trans-2-hexenoic acid	CCC/C=C/C(=O)O						
2-aminoisobutyric acid	O=C(C(C)(C)N)O			NMe-2-aminoisobutyric acid	CNC(C)(C)C(O)=O		
3S-hydroxy-4S-methylproline	C[C@@H](CN[C@@H]1C(O)=O)[C@@H]1O	D-3S-hydroxy-4S-methylproline	C[C@@H](CN[C@H]1C(O)=O)[C@@H]1O	NMe-3S-hydroxy-4S-methylproline	CN(C1)[C@H](C(O)=O)[C@@H](O)[C@H]1C	NMe-D-3S-hydroxy-4S-methylproline	CN(C1)[C@@H](C(O)=O)[C@@H](O)[C@H]1C
6-chloro-4-hydroxy-1-methyl-indole-3-carboxylic acid	Oc(cc2c(n(C)cc2C(O)=O)c1)c1Cl						
6-chloro-4-hydroxyindole-3-carboxylic acid	Clc1cc([nH]cc2C(O)=O)c2c(O)c1						
glutamine	O=C(N)CC[C@H](N)C(O)=O	D-glutamine	O=C(N)CC[C@@H](N)C(O)=O	NMe-glutamine	CN[C@H](C(O)=O)CCC(N)=O	NMe-D-glutamine	CN[C@@H](C(O)=O)CCC(N)=O
lysine	O=C(O)[C@@H](N)CCCCN	D-lysine	O=C(O)[C@H](N)CCCCN	NMe-lysine	CN[C@H](C(O)=O)CCCCN	NMe-D-lysine	CN[C@@H](C(O)=O)CCCCN
phenylpyruvic acid	O=C(C(O)=O)Cc1ccccc1						
pyruvic acid	CC(C(O)=O)=O						
homoserine	N[C@H](C(O)=O)CCO	D-homoserine	N[C@@H](C(O)=O)CCO	NMe-homoserine	CN[C@H](C(O)=O)CCO	NMe-D-homoserine	CN[C@@H](C(O)=O)CCO
(E)-4-methylhex-2-enoic acid	CCC(/C=C/C(O)=O)C						
N5-hydroxyornithine	ONCCC[C@H](N)C(O)=O	D-N5-hydroxyornithine	ONCCC[C@@H](N)C(O)=O	NMe-N5-hydroxyornithine	CN[C@H](C(O)=O)CCCNO	NMe-D-N5-hydroxyornithine	CN[C@@H](C(O)=O)CCCNO
R-3-hydroxy-3-methylproline	O[C@]1([C@@H](C(O)=O)NCC1)C	D-R-3-hydroxy-3-methylproline	O[C@]1([C@H](C(O)=O)NCC1)C	NMe-R-3-hydroxy-3-methylproline	CN(CC1)[C@H](C(O)=O)[C@]1(C)O	NMe-D-R-3-hydroxy-3-methylproline	CN(CC1)[C@@H](C(O)=O)[C@]1(C)O
cinnamic acid	O=C(O)\C=C\c1ccccc1						
dehydrotryptophan	O=C(O)\C(\N)=C\c2c1c([nH]c2)cccc1			NMe-dehydrotryptophan	CN/C(/C(O)=O)=C\c(c[nH]2)c1c2cccc1		
2,3-dihydroxyhexadecanoic acid	CCCCCCCCCCCCCC(O)C(O)C(O)=O						
2,4-dihydroxypentanoic acid	CC(O)CC(O)C(O)=O						
2-sulfamoylacetic acid	O=C(O)CS(N)(=O)=O						
3-(2-nitrocyclopropylalanine)	O=[N+]([O-])[C@@H]1C[C@H]1C[C@H](N)C(O)=O	D-3-(2-nitrocyclopropylalanine)	O=[N+]([O-])[C@@H]1C[C@H]1C[C@@H](N)C(O)=O	NMe-3-(2-nitrocyclopropylalanine)	CN[C@H](C(O)=O)C[C@@H]1C[C@H]1[N+]([O-])=O	NMe-D-3-(2-nitrocyclopropylalanine)	CN[C@@H](C(O)=O)C[C@@H]1C[C@H]1[N+]([O-])=O
3-methylasparagine	CC(C(N)=O)[C@H](N)C(O)=O	D-3-methylasparagine	CC(C(N)=O)[C@@H](N)C(O)=O	NMe-3-methylasparagine	CN[C@H](C(O)=O)C(C(N)=O)C	NMe-D-3-methylasparagine	CN[C@@H](C(O)=O)C(C(N)=O)C
3S-methyl-D-aspartic acid branched	C[C@H](C(O)=O)[C@@H](N)C(O)=O			NMe-3S-methyl-D-aspartic acid branched	CN[C@@H](C(O)=O)[C@@H](C(O)=O)C		
5-chloroanthranilic acid	O=C(O)c1c(N)ccc(Cl)c1						
D-glutamic acid branched	O=C(O)CC[C@@H](N)C(O)=O			NMe-D-glutamic acid branched	CN[C@@H](C(O)=O)CCC(O)=O		
N1-methoxytryptophan	OC(=O)[C@@H](N)Cc2c1c(n(OC)c2)cccc1	D-N1-methoxytryptophan	OC(=O)[C@H](N)Cc2c1c(n(OC)c2)cccc1	NMe-N1-methoxytryptophan	CN[C@H](C(O)=O)Cc(cn2OC)c1c2cccc1	NMe-D-N1-methoxytryptophan	CN[C@@H](C(O)=O)Cc(cn2OC)c1c2cccc1
S-adenosylmethionine	C[S+](C[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2cnc3c(N)ncnc23)O1)CC[C@H](N)C([O-])=O	D-S-adenosylmethionine	C[S+](C[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2cnc3c(N)ncnc23)O1)CC[C@@H](N)C([O-])=O	NMe-S-adenosylmethionine	CN[C@H](C([O-])=O)CC[S+](C[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2cnc3c(N)ncnc23)O1)C	NMe-D-S-adenosylmethionine	CN[C@@H](C([O-])=O)CC[S+](C[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2cnc3c(N)ncnc23)O1)C
malonamate	NC(CC(O)=O)=O			NMe-malonamate	CNC(CC(O)=O)=O		
ornithine	NCCC[C@H](N)C(O)=O	D-ornithine	NCCC[C@@H](N)C(O)=O	NMe-ornithine	CN[C@H](C(O)=O)CCCN	NMe-D-ornithine	CN[C@@H](C(O)=O)CCCN
serine	O=C(O)[C@@H](N)CO	D-serine	O=C(O)[C@H](N)CO	NMe-serine	CN[C@H](C(O)=O)CO	NMe-D-serine	CN[C@@H](C(O)=O)CO
succinyl-hydrazinoacetic acid	N/N=C/C=C/C=C/C=C/C=C/C=C/C(O)=O						
2S-aminooctanoic acid	CCCCCC[C@H](N)C(O)=O	2R-aminooctanoic acid	CCCCCC[C@@H](N)C(O)=O	NMe-2S-aminooctanoic acid	CN[C@H](C(O)=O)CCCCCC	NMe-2R-aminooctanoic acid	CN[C@@H](C(O)=O)CCCCCC
3-aminoisobutyric acid	CC(C(O)=O)CN			NMe-3-aminoisobutyric acid	CNCC(C(O)=O)C		
3-hydroxyglutamine	O=C(O)[C@@H](N)C(O)CC(N)=O	D-3-hydroxyglutamine	O=C(O)[C@H](N)C(O)CC(N)=O	NMe-3-hydroxyglutamine	CN[C@H](C(O)=O)C(O)CC(N)=O	NMe-D-3-hydroxyglutamine	CN[C@@H](C(O)=O)C(O)CC(N)=O
3S-methylleucine	CC([C@@H]([C@H](N)C(O)=O)C)C	D-3S-methylleucine	CC([C@@H]([C@@H](N)C(O)=O)C)C	NMe-3S-methylleucine	CN[C@H](C(O)=O)[C@@H](C)C(C)C	NMe-D-3S-methylleucine	CN[C@@H](C(O)=O)[C@@H](C)C(C)C
4-hydroxy-3-nitrobenzoic acid	O=C(O)c1ccc(O)c([N+]([O-])=O)c1						
5-aminolevulinic acid	NCC(=O)CCC(O)=O						
N5-acetyl-N5-hydroxyornithine	CC(N(O)CCC[C@H](N)C(O)=O)=O	D-N5-acetyl-N5-hydroxyornithine	CC(N(O)CCC[C@@H](N)C(O)=O)=O	NMe-N5-acetyl-N5-hydroxyornithine	CN[C@H](C(O)=O)CCCN(O)C(=O)C	NMe-D-N5-acetyl-N5-hydroxyornithine	CN[C@@H](C(O)=O)CCCN(O)C(=O)C
R-aza-beta-tyrosine	O=C(O)C[C@@H](N)c1ccc(O)cn1			NMe-R-aza-beta-tyrosine	CN[C@H](CC(O)=O)c1ccc(O)cn1		
cysteic acid	O=C(O)[C@@H](N)CS(O)(=O)=O	D-cysteic acid	O=C(O)[C@H](N)CS(O)(=O)=O	NMe-cysteic acid	CN[C@H](C(O)=O)CS(O)(=O)=O	NMe-D-cysteic acid	CN[C@@H](C(O)=O)CS(O)(=O)=O
glutamic acid	O=C(O)CC[C@H](N)C(O)=O	D-glutamic acid	O=C(O)CC[C@@H](N)C(O)=O	NMe-glutamic acid	CN[C@H](C(O)=O)CCC(O)=O	NMe-D-glutamic acid	CN[C@@H](C(O)=O)CCC(O)=O
grifolic acid	CC(=CCC/C(=C/CC/C(=C/Cc(c(O)c(C(O)=O)c(C)c1)c1O)/C)/C)C						
methionine	CSCC[C@H](N)C(O)=O	D-methionine	CSCC[C@@H](N)C(O)=O	NMe-methionine	CN[C@H](C(O)=O)CCSC	NMe-D-methionine	CN[C@@H](C(O)=O)CCSC
succinic semialdehyde	O=C(O)CCC=O						
ustethylinic acid	Cc(c(O)cc(CC)c1C(O)=O)c1O						
1-pyrroline-5-carboxylic acid	O=C(C1/N=C\CC1)O						
2,3-dihydroxy-para-aminobenzoic acid	Nc1ccc(C(O)=O)c(O)c1O						
2,3-dihydroxybenzoic acid	O=C(O)c1cccc(O)c1O						
2S-methyl-3-oxobutyrine	CC([C@@](C(O)=O)(N)C)=O	2R-methyl-3-oxobutyrine	CC([C@](C(O)=O)(N)C)=O	NMe-2S-methyl-3-oxobutyrine	CN[C@@](C(O)=O)(C)C(=O)C	NMe-2R-methyl-3-oxobutyrine	CN[C@](C(O)=O)(C)C(=O)C
3,4-dehydrolysine	O=C(O)[C@@H](N)C=CCCN	D-3,4-dehydrolysine	O=C(O)[C@H](N)C=CCCN	NMe-3,4-dehydrolysine	CN[C@H](C(O)=O)C=CCCN	NMe-D-3,4-dehydrolysine	CN[C@@H](C(O)=O)C=CCCN
3,4-dihydroxybenzoic acid	OC(=O)c1ccc(O)c(O)c1						
3,5-dihydroxyphenylglycine	N[C@@H](c(cc(O)c1)cc1O)C(O)=O	D-3,5-dihydroxyphenylglycine	N[C@H](c(cc(O)c1)cc1O)C(O)=O	NMe-3,5-dihydroxyphenylglycine	CN[C@@H](c(cc(O)c1)cc1O)C(O)=O	NMe-D-3,5-dihydroxyphenylglycine	CN[C@H](c(cc(O)c1)cc1O)C(O)=O
3-amino-2,4-dihydroxybenzoic acid	O=C(O)c1ccc(O)c(N)c1O						
3-hydroxyaspartic acid	N[C@H](C(O)=O)C(O)C(O)=O	D-3-hydroxyaspartic acid	N[C@@H](C(O)=O)C(O)C(O)=O	NMe-3-hydroxyaspartic acid	CN[C@H](C(O)=O)C(O)C(O)=O	NMe-D-3-hydroxyaspartic acid	CN[C@@H](C(O)=O)C(O)C(O)=O
3-hydroxyvaline	CC([C@H](N)C(O)=O)(C)O	D-3-hydroxyvaline	CC([C@@H](N)C(O)=O)(C)O	NMe-3-hydroxyvaline	CN[C@H](C(O)=O)C(C)(O)C	NMe-D-3-hydroxyvaline	CN[C@@H](C(O)=O)C(C)(O)C
3R-hydroxyglutamine	O=C(O)[C@@H](N)[C@H](O)CC(N)=O	D-3R-hydroxyglutamine	O=C(O)[C@H](N)[C@H](O)CC(N)=O	NMe-3R-hydroxyglutamine	CN[C@H](C(O)=O)[C@H](O)CC(N)=O	NMe-D-3R-hydroxyglutamine	CN[C@@H](C(O)=O)[C@H](O)CC(N)=O
3R-methylbeta-alanine	NC[C@H](C(O)=O)C			NMe-3R-methylbeta-alanine	CNC[C@H](C(O)=O)C		
3S-hydroxy-4R-methyloctanoic acid	CCCC[C@@H](C)[C@@H](O)CC(=O)O						
3S-hydroxyleucine	CC([C@H](O)[C@H](N)C(O)=O)C	D-3S-hydroxyleucine	CC([C@H](O)[C@@H](N)C(O)=O)C	NMe-3S-hydroxyleucine	CN[C@H](C(O)=O)[C@@H](O)C(C)C	NMe-D-3S-hydroxyleucine	CN[C@@H](C(O)=O)[C@@H](O)C(C)C
4-hydroxybenzoic acid	OC(=O)c1ccc(O)cc1						
4-hydroxyphenylglycine	O=C(O)[C@@H](N)c1ccc(O)cc1	D-4-hydroxyphenylglycine	O=C(O)[C@H](N)c1ccc(O)cc1	NMe-4-hydroxyphenylglycine	CN[C@H](C(O)=O)c1ccc(O)cc1	NMe-D-4-hydroxyphenylglycine	CN[C@@H](C(O)=O)c1ccc(O)cc1
4-hydroxyphenylpyruvic acid	O=C(C(O)=O)Cc1ccc(O)cc1						
4R-methylproline	C[C@@H]1C[C@@H](C(O)=O)NC1	D-4R-methylproline	C[C@@H]1C[C@H](C(O)=O)NC1	NMe-4R-methylproline	CN(C1)[C@H](C(O)=O)C[C@H]1C	NMe-D-4R-methylproline	CN(C1)[C@@H](C(O)=O)C[C@H]1C
4R-propylproline	CCC[C@@H]1C[C@@H](C(O)=O)NC1	D-4R-propylproline	CCC[C@@H]1C[C@H](C(O)=O)NC1	NMe-4R-propylproline	CN(C1)[C@H](C(O)=O)C[C@H]1CCC	NMe-D-4R-propylproline	CN(C1)[C@@H](C(O)=O)C[C@H]1CCC
4S-hydroxylysine	NCC[C@@H](C[C@H](N)C(O)=O)O	D-4S-hydroxylysine	NCC[C@@H](C[C@@H](N)C(O)=O)O	NMe-4S-hydroxylysine	CN[C@H](C(O)=O)C[C@@H](O)CCN	NMe-D-4S-hydroxylysine	CN[C@@H](C(O)=O)C[C@@H](O)CCN
D-lysergic acid	CN1C[C@H](C(O)=O)C=C(c4cccc3[nH]cc(c34)C2)C12						
N-methylphenylalanine	CN[C@H](C(O)=O)Cc1ccccc1	D-N-methylphenylalanine	CN[C@@H](C(O)=O)Cc1ccccc1	NMe-N-methylphenylalanine	CN([C@H](C(O)=O)Cc1ccccc1)C	NMe-D-N-methylphenylalanine	CN([C@@H](C(O)=O)Cc1ccccc1)C
N5-formyl-N5-hydroxyornithine	O=C(O)[C@@H](N)CCCN(O)C=O	D-N5-formyl-N5-hydroxyornithine	O=C(O)[C@H](N)CCCN(O)C=O	NMe-N5-formyl-N5-hydroxyornithine	CN[C@H](C(O)=O)CCCN(O)C=O	NMe-D-N5-formyl-N5-hydroxyornithine	CN[C@@H](C(O)=O)CCCN(O)C=O
O-methyltyrosine	COc1ccc(C[C@H](N)C(O)=O)cc1	D-O-methyltyrosine	COc1ccc(C[C@@H](N)C(O)=O)cc1	NMe-O-methyltyrosine	CN[C@H](C(O)=O)Cc(cc1)ccc1OC	NMe-D-O-methyltyrosine	CN[C@@H](C(O)=O)Cc(cc1)ccc1OC
R-beta-hydroxytyrosine	O=C(O)[C@@H](N)[C@H](O)c1ccc(O)cc1	D-R-beta-hydroxytyrosine	O=C(O)[C@H](N)[C@H](O)c1ccc(O)cc1	NMe-R-beta-hydroxytyrosine	CN[C@H](C(O)=O)[C@H](O)c1ccc(O)cc1	NMe-D-R-beta-hydroxytyrosine	CN[C@@H](C(O)=O)[C@H](O)c1ccc(O)cc1
R-beta-phenylalanine	O=C(O)C[C@@H](N)c1ccccc1			NMe-R-beta-phenylalanine	CN[C@H](CC(O)=O)c1ccccc1		
R-beta-tyrosine	O=C(O)C[C@@H](N)c1ccc(O)cc1			NMe-R-beta-tyrosine	CN[C@H](CC(O)=O)c1ccc(O)cc1		
S-beta-hydroxyenduracididine	NC=1N[C@H]([C@@H]([C@H](N)C(O)=O)O)CN=1	D-S-beta-hydroxyenduracididine	NC=1N[C@H]([C@@H]([C@@H](N)C(O)=O)O)CN=1	NMe-S-beta-hydroxyenduracididine	CN[C@H](C(O)=O)[C@@H](O)[C@@H]1CN=C(N)N1	NMe-D-S-beta-hydroxyenduracididine	CN[C@@H](C(O)=O)[C@@H](O)[C@@H]1CN=C(N)N1
acetic acid	CC(=O)O						
azetidine-2-carboxylic acid	O=C([C@H]1NCC1)O	D-azetidine-2-carboxylic acid	O=C([C@@H]1NCC1)O	NMe-azetidine-2-carboxylic acid	CN(CC1)[C@@H]1C(O)=O	NMe-D-azetidine-2-carboxylic acid	CN(CC1)[C@H]1C(O)=O
benzoxazolinate	O=C(O)c2nc1c(o2)cccc1						
caffeic acid	OC(/C=C/c(cc1O)ccc1O)=O						
dihydrolysergic acid	CN1CC(C(O)=O)CC(c4cccc3[nH]cc(c34)C2)C12						
isovaline	CC[C@](N)(C(O)=O)C	D-isovaline	CC[C@@](N)(C(O)=O)C	NMe-isovaline	CN[C@@](C(O)=O)(C)CC	NMe-D-isovaline	CN[C@](C(O)=O)(C)CC
linoleic acid	CCCCC/C=C\C/C=C\CCCCCCCC(O)=O						
piperonylic acid	OC(c(c2)ccc1OCOc12)=O						
valine isocyanide	CC([C@@H](C(=O)O)[N+]#[C-])C	D-valine isocyanide	CC([C@H](C(=O)O)[N+]#[C-])C				
(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	O=C(O)[C@@H](N)[C@H](O)Cc1ccc([N+]([O-])=O)cc1	(2R,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	O=C(O)[C@H](N)[C@H](O)Cc1ccc([N+]([O-])=O)cc1	NMe-(2S,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	CN[C@H](C(O)=O)[C@H](O)Cc1ccc([N+]([O-])=O)cc1	NMe-(2R,3R)-2-amino-3-hydroxy-4-(4-nitrophenyl)butanoic acid	CN[C@@H](C(O)=O)[C@H](O)Cc1ccc([N+]([O-])=O)cc1
(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	O=C(O)[C@@H](N)CC[C@@H](O)[C@H](N)CO	(2R,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	O=C(O)[C@H](N)CC[C@@H](O)[C@H](N)CO	NMe-(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	CN[C@H](C(O)=O)CC[C@@H](O)[C@H](N)CO	NMe-(2R,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid	CN[C@@H](C(O)=O)CC[C@@H](O)[C@H](N)CO
(4S)-5,5,5-trichloroleucine	OC([C@H](C[C@@H](C(Cl)(Cl)Cl)C)N)=O	D-(4S)-5,5,5-trichloroleucine	OC([C@@H](C[C@@H](C(Cl)(Cl)Cl)C)N)=O	NMe-(4S)-5,5,5-trichloroleucine	CN[C@@H](C[C@@H](C(Cl)(Cl)Cl)C)C(=O)O	NMe-D-(4S)-5,5,5-trichloroleucine	CN[C@H](C[C@@H](C(Cl)(Cl)Cl)C)C(=O)O
